mem,val
00,40
08,ff
09,ff
0a,ff
0b,ff
0c,ff
0d,ff
0e,ff
0f,ff
10,ff
11,ff
12,ff
13,14
14,00
15,c8
16,00
17,14
18,64
19,00
1a,3c
1b,00
1c,00
1d,8c
1e,00
1f,00
20,c8
21,00
22,00
23,64
24,00
25,14
26,00
27,00
28,3c
29,00
2a,00
2b,3c
2c,00
2d,00
2e,8c
2f,00
30,00
31,c8
32,00
33,14
34,64
35,00
36,3c
37,00
38,ff
39,64
48,78
